Pharm_Class,Category_ID,Category_Name
P-Glycoprotein Inhibitors [MoA],CAT014,Medical Devices / Misc
P-Selectin Blockers [MoA],CAT003,Cardiovascular
PPAR alpha [CS],CAT003,Cardiovascular
Parathyroid Hormone Analog [EPC],CAT009,Hormonal
Parathyroid Hormone-Related Peptide Analog [EPC],CAT009,Hormonal
Partial Cholinergic Nicotinic Agonist [EPC],CAT005,Neurology & Psychiatry
Partial Opioid Agonist [EPC],CAT004,Pain & Inflammation
Pediculicide [EPC],CAT001,Antibiotics
Penicillin-class Antibacterial [EPC],CAT001,Antibiotics
Peroxisome Proliferator Receptor alpha Agonist [EPC],CAT003,Cardiovascular
Phenothiazine [EPC],CAT005,Neurology & Psychiatry
Phenylalanine Ammonia-Lyase [CS],CAT014,Medical Devices / Misc
Phosphate Binder [EPC],CAT007,Gastrointestinal
Phosphodiesterase 3 Inhibitor [EPC],CAT003,Cardiovascular
Phosphodiesterase 4 Inhibitor [EPC],CAT003,Cardiovascular
Phosphodiesterase 5 Inhibitor [EPC],CAT003,Cardiovascular
Photoabsorption [MoA],CAT014,Medical Devices / Misc
Platinum-based Drug [EPC],CAT012,Oncology
Poly(ADP-Ribose) Polymerase Inhibitor [EPC],CAT012,Oncology
Polyene Antifungal [EPC],CAT001,Antibiotics
Polyene Antimicrobial [EPC],CAT001,Antibiotics
Polymyxin-class Antibacterial [EPC],CAT001,Antibiotics
Porphyrin Precursor [EPC],CAT014,Medical Devices / Misc
Positron Emitting Activity [MoA],CAT014,Medical Devices / Misc
Potassium Binder [EPC],CAT007,Gastrointestinal
Potassium Channel Antagonists [MoA],CAT003,Cardiovascular
Progestational Hormone Receptor Antagonists [MoA],CAT009,Hormonal
Progesterone Agonist/Antagonist [EPC],CAT009,Hormonal
Progesterone Congeners [CS],CAT009,Hormonal
Progesterone [CS],CAT009,Hormonal
Programmed Death Receptor-1 Blocking Antibody [EPC],CAT010,Vaccines & Biologics
Prostacyclin Receptor Agonist [EPC],CAT003,Cardiovascular
Prostacycline Vasodilator [EPC],CAT003,Cardiovascular
Prostacycline [EPC],CAT003,Cardiovascular
Prostaglandin Analog [EPC],CAT004,Pain & Inflammation
Prostaglandin E1 Analog [EPC],CAT004,Pain & Inflammation
Prostaglandin E2 Receptor Agonist [EPC],CAT004,Pain & Inflammation
Proteasome Inhibitor [EPC],CAT012,Oncology
Proton Pump Inhibitor [EPC],CAT007,Gastrointestinal
Purine Antimetabolite [EPC],CAT012,Oncology
Pyrethrins [CS],CAT001,Antibiotics
Pyridone [EPC],CAT014,Medical Devices / Misc
Quinolone Antimicrobial [EPC],CAT001,Antibiotics
RANK Ligand Blocking Activity [MoA],CAT012,Oncology
RNA Synthetase Inhibitor Antibacterial [EPC],CAT001,Antibiotics
Radioactive Diagnostic Agent [EPC],CAT014,Medical Devices / Misc
Radioactive Therapeutic Agent [EPC],CAT014,Medical Devices / Misc
Radioactive alpha-Particle Emitting Therapeutic Agent [EPC],CAT014,Medical Devices / Misc
Radiographic Contrast Agent [EPC],CAT014,Medical Devices / Misc
Radioligand Activity [MoA],CAT014,Medical Devices / Misc
Radiopharmaceutical Activity [MoA],CAT014,Medical Devices / Misc
Renin Inhibitor [EPC],CAT003,Cardiovascular
Retinoid [EPC],CAT008,Dermatology
Rho Kinase Inhibitor [EPC],CAT012,Oncology
Rifamycin Antibacterial [EPC],CAT001,Antibiotics
Rifamycin Antimycobacterial [EPC],CAT001,Antibiotics
SARS-CoV-2 Nucleotide Analog RNA Polymerase Inhibitor [EPC],CAT001,Antibiotics
Sclerosing Activity [MoA],CAT014,Medical Devices / Misc
Semifluorinated Alkane [EPC],CAT014,Medical Devices / Misc
Serotonin 1b Receptor Agonists [MoA],CAT005,Neurology & Psychiatry
Serotonin 3 Receptor Antagonists [MoA],CAT005,Neurology & Psychiatry
Serotonin 4 Receptor Agonists [MoA],CAT005,Neurology & Psychiatry
Serotonin Reuptake Inhibitor [EPC],CAT005,Neurology & Psychiatry
Sigma-1 Agonist [EPC],CAT005,Neurology & Psychiatry
Skin Barrier Activity [PE],CAT008,Dermatology
Sodium-Glucose Cotransporter 2 Inhibitor [EPC],CAT002,Antidiabetic
Somatostatin Analog [EPC],CAT003,Cardiovascular
Sphingosine 1-Phosphate Receptor Modulators [MoA],CAT010,Vaccines & Biologics
Sucrose-specific Enzyme [EPC],CAT014,Medical Devices / Misc
Sulfonamide Antibacterial [EPC],CAT001,Antibiotics
Sulfone [EPC],CAT001,Antibiotics
Sulfonylurea Compounds [CS],CAT002,Antidiabetic
Tetracycline-class Antibacterial [EPC],CAT001,Antibiotics
Tetracycline-class Antimicrobial [EPC],CAT001,Antibiotics
Tetracycline-class Drug [EPC],CAT001,Antibiotics
Thalidomide Analog [EPC],CAT012,Oncology
Thymic Stromal Lymphopoietin Blocker [EPC],CAT010,Vaccines & Biologics
Thyroid Hormone Synthesis Inhibitor [EPC],CAT009,Hormonal
Thyroid Stimulating Hormone [EPC],CAT009,Hormonal
Thyroxine [CS],CAT009,Hormonal
Tissue Factor Pathway Inhibitor Antagonist [EPC],CAT003,Cardiovascular
Topoisomerase Inhibitor [EPC],CAT012,Oncology
Tricyclic Antidepressant [EPC],CAT005,Neurology & Psychiatry
Triiodothyronine [CS],CAT009,Hormonal
Tryptophan Hydroxylase Inhibitor [EPC],CAT005,Neurology & Psychiatry
Tumor Necrosis Factor Blocker [EPC],CAT012,Oncology
Type I Interferon Receptor Antagonist [EPC],CAT010,Vaccines & Biologics
Typical Antipsychotic [EPC],CAT005,Neurology & Psychiatry
Tyrosine Kinase 2 Inhibitor [EPC],CAT012,Oncology
UNKNOWN,CAT015,Others
Urate Oxidase [CS],CAT014,Medical Devices / Misc
Urease Inhibitor [EPC],CAT007,Gastrointestinal
VEGFR2 Inhibitors [MoA],CAT012,Oncology
Vascular Endothelial Growth Factor Inhibitor [EPC],CAT010,Vaccines & Biologics
Vasoconstriction [PE],CAT003,Cardiovascular
Vasodilation [PE],CAT003,Cardiovascular
Vasopressin Receptor Agonist [EPC],CAT003,Cardiovascular
Vasopressin V2 Receptor Antagonist [EPC],CAT003,Cardiovascular
Vesicular Monoamine Transporter 2 Inhibitor [EPC],CAT005,Neurology & Psychiatry
Vinca Alkaloid [EPC],CAT012,Oncology
Vitamin A [CS],CAT013,Supplements
Vitamin B 12 [CS],CAT013,Supplements
Vitamin D Analog [EPC],CAT013,Supplements
Vitamin D [CS],CAT013,Supplements
Vitamin K Antagonist [EPC],CAT013,Supplements
Xanthine Oxidase Inhibitor [EPC],CAT003,Cardiovascular
Zaire Ebolavirus Glycoprotein-directed Antibody Interactions [MoA],CAT010,Vaccines & Biologics
alpha Glucosidase Inhibitors [MoA],CAT002,Antidiabetic
gamma-Cyclodextrins [CS],CAT014,Medical Devices / Misc
